ItemName,ItemPrice,ItemDescription,ImageUrl
Sirloin Steak Tips & Crispy Shrimp,17.49,"A generous portion of tender sirloin steak tips* sautéed with grilled onions & mushrooms & crispy breaded shrimp, with dipping sauce. Served with your choice of 2 sides.",https://d1ralsognjng37.cloudfront.net/142f8838-4ebe-486a-b001-a3de74a397f6.jpeg
Buttermilk Crispy Chicken,13.29,Two buttermilk crispy chicken breast fillets served with your choice of 2 sides.,https://d1ralsognjng37.cloudfront.net/b2e0bf70-dd78-4c4a-a605-6b596c54859a.jpeg
Jr. Cheeseburger,7.49,"This kids burger is sizzlin! You get an All-Natural, Black Angus steakburger topped with American cheese on a brioche bun. Served with Mott’s® Applesauce.",https://d1ralsognjng37.cloudfront.net/7df3e02b-3cd4-4e2a-a21e-21c65892e014.jpeg
Silver 5,7.59,"The perfect portion for little ones, these five silver dollar-sized buttermilk pancakes come with a scrambled egg and crispy hickory-smoked bacon.",https://d1ralsognjng37.cloudfront.net/03086914-65dd-4ec6-93b4-0224973de772.jpeg
Jr. Chicken & Waffles,7.29,Two buttermilk crispy chicken breast strips & 2 Belgian waffle quarters.,https://d1ralsognjng37.cloudfront.net/83d93506-e699-4308-82f4-d84d2094c031.jpeg
Jr. Cupcake Pancake Combo,7.49,"A completely sweet breakfast! You’ll get one buttermilk pancake filled with festive rainbow sprinkles and topped with cupcake icing and even more sprinkles! Plus it’s served with 1 piece of bacon, 1 sausage, and 1 scrambled egg.",https://d1ralsognjng37.cloudfront.net/b9e23cb7-37a8-4a12-a580-47128290fdaf.jpeg
Chicken Nuggets,7.49,"Our chicken nuggets are crispy and delicious! You’ll get five nuggets made with chicken breast & whole grains and served with Motts® Applesauce, a side of buttered corn and ranch dressing for dipping.",https://d1ralsognjng37.cloudfront.net/46d1a47f-1aec-4201-9a46-52aecf0f7ea2.jpeg
KRAFT® Macaroni & Cheese,7.49,Our cheesy and delicious KRAFT® Macaroni & Cheese is a great choice for lunch or dinner. We serve it with Mott's® Applesauce.,https://d1ralsognjng37.cloudfront.net/c1c31444-121c-429b-93ca-19ce096442b4.jpeg
Grilled Cheese Sandwich,7.49,"Grilled just right, this IHOP pick will have even picky eaters digging in! Served with Mott's® Applesauce.",https://d1ralsognjng37.cloudfront.net/d5e26d0d-0a01-4043-9c36-4f8de3398c01.jpeg
Jr. Churro Pancake Combo,7.29,"Served with one scrambled egg, one bacon strip and 1 pork sausage link.",https://d1ralsognjng37.cloudfront.net/339f10ea-c2a2-4ccf-b437-f20777a4f2c8.jpeg
Jr. Chicken Strip Dinner,7.49,Two buttermilk crispy chicken breast strips served with real buttered corn & a side of ranch., 
Jr. French Toast Combo,7.49,"Served with 1 scrambled egg, 1 bacon strip & 1 pork sausage link.", 
Funny Face® Pancake Combo,7.49,"Served with 1 scrambled egg, 1 bacon strip & 1 pork sausage link",https://d1ralsognjng37.cloudfront.net/30e2117c-ebdb-45a0-9b2c-43cb436e7579.jpeg
55+ Cheese Omelette,8.99,Made with Cheddar & a splash of buttermilk & wheat pancake batter. Served with 2 buttermilk pancakes.,https://d1ralsognjng37.cloudfront.net/06177179-2b65-41a5-b671-e5bd497183f1.jpeg
55+ Breakfast Sampler,8.99,"One of each of these breakfast favorites: one egg*, one fluffy buttermilk pancake, one strip of crispy bacon, one savory pork sausage link and one piece of ham. Plus, hash browns, too!",https://d1ralsognjng37.cloudfront.net/27815fcb-882b-4a9a-9473-367bf242ec4b.jpeg
55+ Rise 'N Shine,8.99,"Whether you're welcoming the morning or capping off the day, you'll enjoy two eggs*, toast and hash browns served with your choice of two strips of crispy bacon or two pork sausage links.",https://d1ralsognjng37.cloudfront.net/2e8b3b3d-89a2-449c-960b-aeebcb256862.jpeg
55+ 2 x 2 x 2,8.49,"You'll enjoy two of the breakfast items you love: two fluffy buttermilk pancakes, two eggs* and two crispy bacon strips or two pork sausage links.",https://d1ralsognjng37.cloudfront.net/30798bd3-5182-432c-b5ea-7688b474d992.jpeg
55+ Buttermilk Pancakes,6.69,Dig into a short stack of three country-inspired fluffy buttermilk pancakes. They're a delicious way to start - or end - the day!,https://d1ralsognjng37.cloudfront.net/12c898f3-8dea-4bbc-b74a-995c09a53266.jpeg
55+ French Toast,8.49,"Dusted with powdered sugar, our four triangles of French toast are always a crowd-pleaser. They come with two strips of crispy bacon or two pork sausage links.",https://d1ralsognjng37.cloudfront.net/5e6a29a2-2893-4a3a-9e89-856e2ff1154a.jpeg
55+ BLT,8.99,"Fresh lettuce & tomato, crispy bacon strips & creamy mayonnaise on toasted white bread.",https://d1ralsognjng37.cloudfront.net/25b9ed2f-dfd7-489d-9494-9e19775d59f1.jpeg
55+ Turkey & Swiss Sandwich,8.99,"Carved roasted turkey breast, Swiss, lettuce, tomato & mayonnaise on wheat bread.",https://d1ralsognjng37.cloudfront.net/5b5e0660-3cf9-4a5d-b714-36ff85746af1.jpeg
55+ Grilled Cheese,8.99,Layers of melted American & Swiss on grilled sourdough.,https://d1ralsognjng37.cloudfront.net/970763c0-5690-4cb0-92ea-fe1f39b65314.jpeg
55+ Crispy Chicken Strips Dinner,9.99,Three crispy chicken strips served with your choice of 2 sides.,https://d1ralsognjng37.cloudfront.net/39a1f22a-c86b-4ea0-821d-3a62b5f8cf01.jpeg
55+ Grilled Chicken Dinner,9.99,Grilled chicken breast served with your choice of 2 sides.,https://d1ralsognjng37.cloudfront.net/c495646d-d624-4d9e-9d6f-ad0f081f1d6a.jpeg
55+ Roasted Turkey Dinner,9.99,Carved roasted turkey breast topped with turkey gravy. Served with your choice of 2 sides.,https://d1ralsognjng37.cloudfront.net/2c11584d-2736-4057-86a0-475bb2e67b30.jpeg
55+ Grilled Tilapia Dinner,9.99,"One seasoned fillet, grilled & served with your choice of 2 sides.",https://d1ralsognjng37.cloudfront.net/54802b20-6c54-4fb1-8bec-7b44b7eb04d5.jpeg
Coffee and Hot Chocolate,2.99,Missing at 1,https://d1ralsognjng37.cloudfront.net/0756748c-e3a0-4c3b-ab36-c4fd2fcd8a7d.jpeg
Tea and Lemonade,2.99,Missing at 2,https://d1ralsognjng37.cloudfront.net/6c867fae-fd5b-4f67-880a-d38a471e911e.jpeg
Fruit Juices,3.69,Missing at 3,https://d1ralsognjng37.cloudfront.net/4daf4295-e1e2-42a6-9a29-0fee6ea81fbc.jpeg
IHOP Splashers®,4.19,"Splashberry: A blend of IHOP's juicy red strawberries, lemon-lime soda and premium orange juice. Tropical Island Twist: A blend of lemonade, lemon-lime soda and tropical mango syrup.",https://d1ralsognjng37.cloudfront.net/4b507043-9413-4f35-9b18-7cb5d505dfca.jpeg
Milk,2.09,Missing at 4,https://d1ralsognjng37.cloudfront.net/75eaa547-7ca8-4f79-bff1-0d56d5a5afdd.jpeg
Pepsi®,2.99,Missing at 5,https://d1ralsognjng37.cloudfront.net/3c056bb4-a202-49f3-a873-d9fc5c7800a4.jpeg
Diet Pepsi®,2.99,Missing at 6,https://d1ralsognjng37.cloudfront.net/78291c5a-2004-40f4-99b2-97a527d1ac9f.jpeg
Dr. Pepper®,2.99,Missing at 7,https://d1ralsognjng37.cloudfront.net/3c056bb4-a202-49f3-a873-d9fc5c7800a4.jpeg
Mountain Dew®,2.99,Missing at 8,https://d1ralsognjng37.cloudfront.net/8f571a92-e4ed-454a-9ab6-3aa6852096b3.jpeg
Sierra Mist®,2.99,Missing at 9,https://d1ralsognjng37.cloudfront.net/78291c5a-2004-40f4-99b2-97a527d1ac9f.jpeg
House-Made Milkshakes,5.49,"Shake it to the next level with hand-scooped premium ice cream, natural vanilla, real milk and whipped topping.",https://d1ralsognjng37.cloudfront.net/e75025cf-0273-4cee-b081-876bc0aef58c.jpeg
Fruit Crepe,5.49,One crepe filled with choice of blueberry compote or glazed strawberries. Topped with vanilla ice cream & more fruit topping.,https://d1ralsognjng37.cloudfront.net/70590e39-2301-4fd6-b959-26d9dec2ef5e.jpeg
Ice Cream Sundae with Glazed Strawberries,4.99,"Three scoops of vanilla ice cream loaded with glazed strawberries, creamy whipped topping and a cherry on top.",https://d1ralsognjng37.cloudfront.net/a89c2614-9f46-4e32-8b3d-937ee7250f3f.jpeg
Kids Jr. Sundae with Glazed Strawberries,2.79,"Kids will love our vanilla ice cream loaded with glazed strawberries, creamy whipped topping and and a cherry on top.",https://d1ralsognjng37.cloudfront.net/8da6f21e-ac84-4981-ae59-edb6460e50ee.jpeg
Jr. Milkshakes,3.99,"Shake it to the next level with hand-scooped premium ice cream, natural vanilla, real milk and whipped topping.",https://d1ralsognjng37.cloudfront.net/a8d5aa1d-b5cf-4998-b528-6591ae14464c.jpeg
